from_team,to_team,shared_players,shared_player_names
LAK,OTT,5,Arthur Kaliyev|Jordan Spence|Kurtis MacDermid|Michael Amadio|Warren Foegele
OTT,DET,5,Alex DeBrincat|Cam Talbot|David Perron|Jacob Bernard-Docker|Travis Hamonic
UTA,TOR,4,Matias Maccelli|Max Domi|Oliver Ekman-Larsson|Troy Stecher
PIT,UTA,4,Andrew Agozzino|Brandon Tanev|Ian Cole|John Marino
CBJ,BOS,4,Andrew Peeke|Joonas Korpisalo|Jordan Harris|Sean Kuraly
BOS,PIT,4,Connor Clifton|Justin Brazeau|Noel Acciari|Parker Wotherspoon
ANA,VGK,4,Ben Hutton|Jaycob Megna|Shea Theodore|William Karlsson
DET,STL,4,Jonatan Berggren|Justin Holl|Oskar Sundqvist|Pius Suter
PIT,SEA,4,Frederick Gaudreau|Jamie Oleksiak|Jared McCann|Matt Murray
UTA,BUF,4,Conor Timmins|Josh Doan|Luke Schenn|Michael Kesselring
CAR,COL,4,Brent Burns|Jack Drury|Martin Necas|Nicolas Roy
CBJ,FLA,4,Daniil Tarasov|Luke Kunin|Sergei Bobrovsky|Seth Jones
PIT,VAN,4,Drew O'Connor|Marcus Pettersson|Pierre-Olivier Joseph|Teddy Blueger
NSH,VGK,4,Cole Smith|Colton Sissons|Jeremy Davies|Jeremy Lauzon
WSH,NJD,4,Brenden Dillon|Connor Brown|Dennis Cholowski|Jonas Siegenthaler
BUF,FLA,4,Dmitry Kulikov|Evan Rodrigues|Sam Reinhart|Vinnie Hinostroza
NJD,UTA,4,John Marino|Kevin Rooney|Nick DeSimone|Vitek Vanecek
BUF,CAR,4,Mark Jankowski|Nicolas Deslauriers|Taylor Hall|William Carrier
COL,NSH,4,Justin Barron|Justus Annunen|Ryan O'Reilly|Tyson Jost
COL,UTA,4,Alexander Kerfoot|Andrew Agozzino|Ian Cole|Liam O'Brien
VAN,TOR,4,Chris Tanev|Dakota Joshua|Oliver Ekman-Larsson|Troy Stecher
CHI,WSH,3,David Kampf|Dylan Strome|Trevor van Riemsdyk
WSH,UTA,3,Liam O'Brien|Nate Schmidt|Vitek Vanecek
MIN,FLA,3,Dmitry Kulikov|Luke Kunin|Vinnie Hinostroza
